Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
208.15	0.34439	1158.9	0.00086290	40.468	40.766	0.20672	0.93232	1.7538	984.46	-0.20859	undefined	undefined	0.018253	9.3418	0.10705	350.12	386.99	1.8700	0.65332	0.91495	219.24	30.380	undefined	undefined
209.15	0.36032	1155.7	0.00086528	42.214	42.526	0.21509	0.93149	1.7562	978.10	-0.20545	undefined	undefined	0.018026	9.7483	0.10258	350.50	387.46	1.8643	0.65640	0.92064	219.42	29.958	undefined	undefined
210.15	0.37682	1152.5	0.00086768	43.963	44.290	0.22343	0.93067	1.7587	971.75	-0.20223	undefined	undefined	0.017800	10.168	0.098345	350.87	387.93	1.8587	0.65949	0.92641	219.59	29.544	undefined	undefined
211.15	0.39388	1149.3	0.00087010	45.713	46.056	0.23175	0.92986	1.7613	965.40	-0.19893	undefined	undefined	0.017575	10.602	0.094321	351.25	388.40	1.8531	0.66260	0.93227	219.75	29.139	undefined	undefined
212.15	0.41152	1146.1	0.00087255	47.465	47.824	0.24003	0.92908	1.7640	959.04	-0.19555	undefined	undefined	0.017350	11.050	0.090497	351.61	388.85	1.8475	0.66572	0.93822	219.91	28.742	undefined	undefined
213.15	0.42975	1142.8	0.00087502	49.220	49.596	0.24829	0.92831	1.7667	952.69	-0.19209	undefined	undefined	0.017126	11.512	0.086863	351.98	389.31	1.8420	0.66885	0.94425	220.05	28.352	undefined	undefined
214.15	0.44859	1139.6	0.00087751	50.977	51.370	0.25651	0.92756	1.7696	946.34	-0.18854	undefined	undefined	0.016902	11.990	0.083406	352.33	389.75	1.8366	0.67199	0.95038	220.19	27.971	undefined	undefined
215.15	0.46805	1136.3	0.00088004	52.736	53.148	0.26472	0.92682	1.7726	939.98	-0.18490	undefined	undefined	0.016679	12.482	0.080116	352.69	390.19	1.8313	0.67515	0.95661	220.32	27.597	undefined	undefined
216.15	0.48814	1133.0	0.00088258	54.498	54.928	0.27289	0.92610	1.7756	933.63	-0.18117	undefined	undefined	0.016457	12.990	0.076985	353.04	390.62	1.8259	0.67831	0.96293	220.44	27.231	undefined	undefined
217.15	0.50887	1129.7	0.00088516	56.262	56.712	0.28104	0.92540	1.7787	927.28	-0.17735	undefined	undefined	0.016235	13.513	0.074002	353.39	391.04	1.8207	0.68149	0.96935	220.55	26.872	undefined	undefined
218.15	0.53026	1126.4	0.00088776	58.029	58.499	0.28916	0.92471	1.7820	920.92	-0.17343	undefined	undefined	0.016014	14.053	0.071159	353.73	391.46	1.8155	0.68467	0.97588	220.66	26.520	undefined	undefined
219.15	0.55231	1123.1	0.00089038	59.798	60.290	0.29726	0.92404	1.7853	914.57	-0.16941	undefined	undefined	0.015794	14.609	0.068450	354.07	391.87	1.8103	0.68787	0.98251	220.75	26.176	undefined	undefined
220.15	0.57505	1119.8	0.00089304	61.570	62.084	0.30534	0.92339	1.7888	908.21	-0.16529	undefined	undefined	0.015574	15.183	0.065865	354.40	392.27	1.8052	0.69107	0.98924	220.84	25.838	undefined	undefined
221.15	0.59849	1116.4	0.00089572	63.345	63.881	0.31339	0.92275	1.7923	901.85	-0.16107	undefined	undefined	0.015354	15.773	0.063399	354.73	392.67	1.8001	0.69428	0.99608	220.91	25.507	undefined	undefined
222.15	0.62263	1113.0	0.00089844	65.123	65.682	0.32141	0.92212	1.7960	895.49	-0.15674	undefined	undefined	0.015136	16.381	0.061045	355.05	393.06	1.7951	0.69750	1.0030	220.98	25.183	undefined	undefined
