# Engine name: SSI Liquid - Kerosene
# Sun Jan 21 21:30:38 2018
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, psi  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     0.9000    500.0000      0.0000      1.0000      0.0000   1176.0370     20.7390      1.2560      1.1495   1076.4583    167.5359    186.6832      1.5263      1.7007      1.0000 
     0.9000    550.0000      0.0000      1.0000      0.0000   1182.2964     20.8084      1.2563      1.1495   1077.5053    169.4950    188.2419      1.5426      1.7132      1.0000 
     0.9000    600.0000      0.0000      1.0000      0.0000   1188.0460     20.8725      1.2565      1.1494   1078.4526    171.2507    189.6446      1.5572      1.7245      1.0000 
     0.9000    650.0000      0.0000      1.0000      0.0000   1193.3639     20.9322      1.2567      1.1494   1079.3166    172.8391    190.9180      1.5704      1.7347      1.0000 
     0.9000    700.0000      0.0000      1.0000      0.0000   1198.3116     20.9881      1.2568      1.1493   1080.1101    174.2874    192.0827      1.5824      1.7440      1.0000 
     0.9000    750.0000      0.0000      1.0000      0.0000   1202.9380     21.0407      1.2568      1.1493   1080.8430    175.6169    193.1549      1.5934      1.7525      1.0000 
     0.9000    800.0000      0.0000      1.0000      0.0000   1207.2830     21.0903      1.2569      1.1492   1081.5234    176.8446    194.1474      1.6035      1.7604      1.0000 
     0.9000    850.0000      0.0000      1.0000      0.0000   1211.3791     21.1373      1.2568      1.1492   1082.1580    177.9841    195.0705      1.6129      1.7678      1.0000 
     0.9000    900.0000      0.0000      1.0000      0.0000   1215.2538     21.1819      1.2568      1.1491   1082.7521    179.0464    195.9329      1.6217      1.7746      1.0000 
     0.9000    950.0000      0.0000      1.0000      0.0000   1218.9300     21.2245      1.2568      1.1490   1083.3102    180.0406    196.7416      1.6298      1.7810      1.0000 
     0.9000   1000.0000      0.0000      1.0000      0.0000   1222.4274     21.2652      1.2567      1.1490   1083.8363    180.9746    197.5024      1.6375      1.7870      1.0000 
     1.0000     50.0000      0.0000      1.0000      0.0000   1063.7701     19.1145      1.2302      1.1527   1066.1276    104.4585    143.9969      0.9608      1.3245      1.0000 
     1.0000    100.0000      0.0000      1.0000      0.0000   1101.9585     19.4502      1.2403      1.1540   1075.1069    129.1700    159.1161      1.1782      1.4514      1.0000 
     1.0000    150.0000      0.0000      1.0000      0.0000   1125.7038     19.6683      1.2456      1.1546   1080.2867    141.1870    167.5526      1.2817      1.5210      1.0000 
     1.0000    200.0000      0.0000      1.0000      0.0000   1143.1710     19.8331      1.2490      1.1550   1083.9139    148.9361    173.2542      1.3475      1.5675      1.0000 
     1.0000    250.0000      0.0000      1.0000      0.0000   1157.0664     19.9670      1.2514      1.1552   1086.6937    154.5744    177.5094      1.3949      1.6019      1.0000 
     1.0000    300.0000      0.0000      1.0000      0.0000   1168.6397     20.0803      1.2532      1.1554   1088.9400    158.9664    180.8788      1.4316      1.6289      1.0000 
     1.0000    350.0000      0.0000      1.0000      0.0000   1178.5756     20.1788      1.2545      1.1555   1090.8197    162.5416    183.6537      1.4613      1.6511      1.0000 
     1.0000    400.0000      0.0000      1.0000      0.0000   1187.2916     20.2663      1.2556      1.1555   1092.4324    165.5429    186.0039      1.4861      1.6697      1.0000 
     1.0000    450.0000      0.0000      1.0000      0.0000   1195.0619     20.3451      1.2564      1.1555   1093.8421    168.1205    188.0364      1.5073      1.6858      1.0000 
     1.0000    500.0000      0.0000      1.0000      0.0000   1202.0766     20.4168      1.2571      1.1555   1095.0923    170.3732    189.8230      1.5257      1.6999      1.0000 
     1.0000    550.0000      0.0000      1.0000      0.0000   1208.4730     20.4827      1.2577      1.1555   1096.2141    172.3698    191.4139      1.5420      1.7124      1.0000 
     1.0000    600.0000      0.0000      1.0000      0.0000   1214.3537     20.5438      1.2581      1.1555   1097.2304    174.1593    192.8457      1.5566      1.7236      1.0000 
     1.0000    650.0000      0.0000      1.0000      0.0000   1219.7974     20.6007      1.2585      1.1554   1098.1583    175.7784    194.1456      1.5697      1.7337      1.0000 
     1.0000    700.0000      0.0000      1.0000      0.0000   1224.8661     20.6541      1.2588      1.1554   1099.0113    177.2549    195.3348      1.5817      1.7430      1.0000 
     1.0000    750.0000      0.0000      1.0000      0.0000   1229.6089     20.7042      1.2590      1.1553   1099.8000    178.6106    196.4295      1.5926      1.7515      1.0000 
     1.0000    800.0000      0.0000      1.0000      0.0000   1234.0662     20.7517      1.2592      1.1553   1100.5330    179.8625    197.4430      1.6027      1.7594      1.0000 
     1.0000    850.0000      0.0000      1.0000      0.0000   1238.2710     20.7966      1.2594      1.1552   1101.2061    181.0245    198.3857      1.6121      1.7667      1.0000 
     1.0000    900.0000      0.0000      1.0000      0.0000   1242.2507     20.8394      1.2595      1.1551   1101.8474    182.1079    199.2664      1.6208      1.7735      1.0000 
     1.0000    950.0000      0.0000      1.0000      0.0000   1246.0288     20.8802      1.2596      1.1551   1102.4504    183.1220    200.0923      1.6289      1.7799      1.0000 
     1.0000   1000.0000      0.0000      1.0000      0.0000   1249.6250     20.9191      1.2597      1.1550   1103.0191    184.0747    200.8694      1.6366      1.7859      1.0000 
     1.1000     50.0000      0.0000      1.0000      0.0000   1088.5598     18.9289      1.2279      1.1607   1081.5332    106.0386    146.0895      0.9615      1.3246      1.0000 
     1.1000    100.0000      0.0000      1.0000      0.0000   1126.4905     19.2388      1.2381      1.1613   1090.8775    131.0871    161.4094      1.1784      1.4510      1.0000 
     1.1000    150.0000      0.0000      1.0000      0.0000   1150.2183     19.4418      1.2438      1.1617   1096.2924    143.2737    169.9712      1.2816      1.5204      1.0000 
     1.1000    200.0000      0.0000      1.0000      0.0000   1167.7359     19.5961      1.2476      1.1619   1100.0960    151.1357    175.7622      1.3473      1.5668      1.0000 
     1.1000    250.0000      0.0000      1.0000      0.0000   1181.7077     19.7218      1.2503      1.1620   1103.0179    156.8583    180.0865      1.3946      1.6011      1.0000 
     1.1000    300.0000      0.0000      1.0000      0.0000   1193.3683     19.8284      1.2524      1.1621   1105.3837    161.3174    183.5122      1.4312      1.6281      1.0000 
     1.1000    350.0000      0.0000      1.0000      0.0000   1203.3959     19.9214      1.2541      1.1621   1107.3669    164.9481    186.3344      1.4608      1.6501      1.0000 
     1.1000    400.0000      0.0000      1.0000      0.0000   1212.2048     20.0041      1.2554      1.1621   1109.0709    167.9968    188.7252      1.4855      1.6688      1.0000 
     1.1000    450.0000      0.0000      1.0000      0.0000   1220.0677     20.0787      1.2565      1.1621   1110.5624    170.6155    190.7934      1.5066      1.6848      1.0000 
     1.1000    500.0000      0.0000      1.0000      0.0000   1227.1736     20.1467      1.2574      1.1621   1111.8868    172.9048    192.6117      1.5250      1.6988      1.0000 
     1.1000    550.0000      0.0000      1.0000      0.0000   1233.6595     20.2094      1.2582      1.1620   1113.0765    174.9339    194.2311      1.5412      1.7113      1.0000 
     1.1000    600.0000      0.0000      1.0000      0.0000   1239.6278     20.2674      1.2588      1.1620   1114.1553    176.7530    195.6887      1.5558      1.7224      1.0000 
     1.1000    650.0000      0.0000      1.0000      0.0000   1245.1572     20.3216      1.2594      1.1619   1115.1414    178.3990    197.0124      1.5689      1.7325      1.0000 
     1.1000    700.0000      0.0000      1.0000      0.0000   1250.3094     20.3724      1.2598      1.1618   1116.0487    179.9003    198.2233      1.5808      1.7418      1.0000 
     1.1000    750.0000      0.0000      1.0000      0.0000   1255.1338     20.4202      1.2602      1.1618   1116.8883    181.2788    199.3382      1.5917      1.7503      1.0000 
     1.1000    800.0000      0.0000      1.0000      0.0000   1259.6706     20.4655      1.2606      1.1617   1117.6692    182.5519    200.3705      1.6017      1.7581      1.0000 
     1.1000    850.0000      0.0000      1.0000      0.0000   1263.9530     20.5084      1.2609      1.1616   1118.3987    183.7338    201.3307      1.6111      1.7654      1.0000 
     1.1000    900.0000      0.0000      1.0000      0.0000   1268.0086     20.5493      1.2612      1.1616   1119.0827    184.8358    202.2279      1.6197      1.7721      1.0000 
