# Engine name: SSI Liquid - IPA
# Sun Oct 29 12:05:59 2017
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, psi  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     1.0000   1270.0000      0.0000      1.0000      0.0000   1270.2089     18.9213      1.2725      1.1634   1140.5170    184.7815    201.6871      1.6706      1.8127      0.9351 
     1.0000   1280.0000      0.0000      1.0000      0.0000   1270.7918     18.9259      1.2725      1.1634   1140.7215    184.9357    201.8152      1.6717      1.8135      0.9352 
     1.0000   1290.0000      0.0000      1.0000      0.0000   1271.3704     18.9305      1.2726      1.1634   1140.9243    185.0886    201.9422      1.6728      1.8144      0.9352 
     1.0000   1300.0000      0.0000      1.0000      0.0000   1271.9449     18.9350      1.2726      1.1634   1141.1255    185.2401    202.0682      1.6738      1.8152      0.9353 
     1.0000   1310.0000      0.0000      1.0000      0.0000   1272.5154     18.9395      1.2727      1.1635   1141.3252    185.3903    202.1931      1.6749      1.8160      0.9354 
     1.0000   1320.0000      0.0000      1.0000      0.0000   1273.0818     18.9440      1.2727      1.1635   1141.5233    185.5391    202.3169      1.6759      1.8169      0.9354 
     1.0000   1330.0000      0.0000      1.0000      0.0000   1273.6442     18.9485      1.2727      1.1635   1141.7199    185.6867    202.4397      1.6770      1.8177      0.9355 
     1.0000   1340.0000      0.0000      1.0000      0.0000   1274.2028     18.9529      1.2727      1.1635   1141.9150    185.8331    202.5614      1.6780      1.8185      0.9355 
     1.0000   1350.0000      0.0000      1.0000      0.0000   1274.7575     18.9573      1.2728      1.1635   1142.1087    185.9782    202.6822      1.6790      1.8193      0.9356 
     1.0000   1360.0000      0.0000      1.0000      0.0000   1275.3084     18.9617      1.2728      1.1635   1142.3008    186.1221    202.8020      1.6800      1.8201      0.9356 
     1.0000   1370.0000      0.0000      1.0000      0.0000   1275.8555     18.9660      1.2728      1.1636   1142.4916    186.2648    202.9208      1.6810      1.8209      0.9357 
     1.0000   1380.0000      0.0000      1.0000      0.0000   1276.3990     18.9703      1.2729      1.1636   1142.6809    186.4063    203.0387      1.6820      1.8217      0.9357 
     1.0000   1390.0000      0.0000      1.0000      0.0000   1276.9388     18.9746      1.2729      1.1636   1142.8689    186.5467    203.1556      1.6830      1.8224      0.9358 
     1.0000   1400.0000      0.0000      1.0000      0.0000   1277.4751     18.9789      1.2729      1.1636   1143.0554    186.6859    203.2716      1.6840      1.8232      0.9359 
     1.0000   1410.0000      0.0000      1.0000      0.0000   1278.0078     18.9831      1.2730      1.1636   1143.2406    186.8240    203.3867      1.6850      1.8240      0.9359 
     1.0000   1420.0000      0.0000      1.0000      0.0000   1278.5370     18.9873      1.2730      1.1636   1143.4245    186.9610    203.5008      1.6859      1.8247      0.9360 
     1.0000   1430.0000      0.0000      1.0000      0.0000   1279.0628     18.9915      1.2730      1.1637   1143.6071    187.0969    203.6141      1.6869      1.8255      0.9360 
     1.0000   1440.0000      0.0000      1.0000      0.0000   1279.5851     18.9957      1.2730      1.1637   1143.7884    187.2317    203.7266      1.6878      1.8262      0.9361 
     1.0000   1450.0000      0.0000      1.0000      0.0000   1280.1042     18.9998      1.2731      1.1637   1143.9684    187.3655    203.8381      1.6887      1.8270      0.9361 
     1.0000   1460.0000      0.0000      1.0000      0.0000   1280.6199     19.0039      1.2731      1.1637   1144.1471    187.4982    203.9489      1.6897      1.8277      0.9362 
     1.0000   1470.0000      0.0000      1.0000      0.0000   1281.1323     19.0080      1.2731      1.1637   1144.3246    187.6299    204.0587      1.6906      1.8284      0.9362 
     1.0000   1480.0000      0.0000      1.0000      0.0000   1281.6415     19.0121      1.2731      1.1637   1144.5009    187.7606    204.1678      1.6915      1.8291      0.9363 
     1.0000   1490.0000      0.0000      1.0000      0.0000   1282.1475     19.0161      1.2732      1.1638   1144.6759    187.8903    204.2761      1.6924      1.8298      0.9363 
     1.0000   1500.0000      0.0000      1.0000      0.0000   1282.6504     19.0201      1.2732      1.1638   1144.8498    188.0190    204.3835      1.6933      1.8305      0.9364 
     1.1000    110.0000      0.0000      1.0000      0.0000   1126.0784     17.6138      1.2458      1.1603   1087.3059    126.9023    157.6567      1.2042      1.4687      0.9230 
     1.1000    120.0000      0.0000      1.0000      0.0000   1131.2919     17.6467      1.2471      1.1607   1089.6383    129.6434    159.5587      1.2269      1.4838      0.9235 
     1.1000    130.0000      0.0000      1.0000      0.0000   1136.1325     17.6775      1.2483      1.1610   1091.7862    132.1112    161.2969      1.2471      1.4975      0.9240 
     1.1000    140.0000      0.0000      1.0000      0.0000   1140.6525     17.7063      1.2494      1.1614   1093.7768    134.3498    162.8927      1.2654      1.5100      0.9244 
     1.1000    150.0000      0.0000      1.0000      0.0000   1144.8937     17.7336      1.2504      1.1617   1095.6315    136.3951    164.3657      1.2821      1.5215      0.9248 
     1.1000    160.0000      0.0000      1.0000      0.0000   1148.8902     17.7593      1.2514      1.1620   1097.3678    138.2778    165.7344      1.2973      1.5322      0.9252 
     1.1000    170.0000      0.0000      1.0000      0.0000   1152.6699     17.7838      1.2523      1.1622   1098.9999    140.0198    167.0109      1.3114      1.5421      0.9255 
     1.1000    180.0000      0.0000      1.0000      0.0000   1156.2563     17.8072      1.2531      1.1625   1100.5396    141.6384    168.2051      1.3244      1.5513      0.9258 
     1.1000    190.0000      0.0000      1.0000      0.0000   1159.6691     17.8295      1.2539      1.1627   1101.9968    143.1500    169.3276      1.3365      1.5599      0.9262 
     1.1000    200.0000      0.0000      1.0000      0.0000   1162.9251     17.8509      1.2546      1.1630   1103.3799    144.5668    170.3856      1.3479      1.5680      0.9265 
     1.1000    210.0000      0.0000      1.0000      0.0000   1166.0389     17.8714      1.2553      1.1632   1104.6960    145.8991    171.3856      1.3585      1.5756      0.9267 
     1.1000    220.0000      0.0000      1.0000      0.0000   1169.0227     17.8911      1.2560      1.1634   1105.9514    147.1558    172.3334      1.3685      1.5828      0.9270 
     1.1000    230.0000      0.0000      1.0000      0.0000   1171.8877     17.9101      1.2566      1.1636   1107.1514    148.3453    173.2344      1.3779      1.5897      0.9273 
     1.1000    240.0000      0.0000      1.0000      0.0000   1174.6433     17.9284      1.2572      1.1637   1108.3007    149.4733    174.0922      1.3868      1.5961      0.9275 
     1.1000    250.0000      0.0000      1.0000      0.0000   1177.2980     17.9461      1.2577      1.1639   1109.4033    150.5459    174.9109      1.3952      1.6023      0.9278 
     1.1000    260.0000      0.0000      1.0000      0.0000   1179.8592     17.9633      1.2583      1.1641   1110.4630    151.5682    175.6940      1.4033      1.6082      0.9280 
     1.1000    270.0000      0.0000      1.0000      0.0000   1182.3336     17.9799      1.2588      1.1642   1111.4829    152.5441    176.4441      1.4109      1.6138      0.9282 
     1.1000    280.0000      0.0000      1.0000      0.0000   1184.7272     17.9960      1.2593      1.1644   1112.4659    153.4772    177.1632      1.4182      1.6192      0.9284 
     1.1000    290.0000      0.0000      1.0000      0.0000   1187.0453     18.0116      1.2597      1.1645   1113.4146    154.3706    177.8537      1.4252      1.6243      0.9286 
     1.1000    300.0000      0.0000      1.0000      0.0000   1189.2928     18.0268      1.2602      1.1647   1114.3313    155.2281    178.5181      1.4318      1.6293      0.9288 
