# Engine name: SSI Liquid - Kerosene
# Fri Jan 5 21:27:23 2018
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, psi  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     0.9000   1000.0000      0.0000      0.8660      0.0000   1198.0862     19.8656      1.2601      1.1497   1109.7595    187.4050    203.6813      1.6560      1.7999      1.0000 
     1.0000     50.0000      0.0000      0.8660      0.0000   1036.9706     17.8705      1.2391      1.1501   1089.1690    112.3072    150.0228      1.0112      1.3508      1.0000 
     1.0000    100.0000      0.0000      0.8660      0.0000   1075.7597     18.2002      1.2487      1.1521   1098.4866    136.2352    165.3336      1.2162      1.4760      1.0000 
     1.0000    150.0000      0.0000      0.8660      0.0000   1099.7714     18.4125      1.2535      1.1531   1103.8614    148.0020    173.7559      1.3148      1.5436      1.0000 
     1.0000    200.0000      0.0000      0.8660      0.0000   1117.3869     18.5721      1.2565      1.1537   1107.6253    155.6197    179.4325      1.3778      1.5887      1.0000 
     1.0000    250.0000      0.0000      0.8660      0.0000   1131.3731     18.7012      1.2585      1.1541   1110.5100    161.1741    183.6646      1.4233      1.6219      1.0000 
     1.0000    300.0000      0.0000      0.8660      0.0000   1143.0046     18.8102      1.2599      1.1544   1112.8412    165.5065    187.0139      1.4585      1.6480      1.0000 
     1.0000    350.0000      0.0000      0.8660      0.0000   1152.9781     18.9048      1.2609      1.1546   1114.7810    169.0364    189.7714      1.4870      1.6694      1.0000 
     1.0000    400.0000      0.0000      0.8660      0.0000   1161.7181     18.9886      1.2617      1.1547   1116.4552    172.0015    192.1062      1.5108      1.6874      1.0000 
     1.0000    450.0000      0.0000      0.8660      0.0000   1169.5028     19.0639      1.2623      1.1548   1117.9187    174.5494    194.1252      1.5312      1.7029      1.0000 
     1.0000    500.0000      0.0000      0.8660      0.0000   1176.5249     19.1324      1.2628      1.1549   1119.2168    176.7771    195.8997      1.5489      1.7165      1.0000 
     1.0000    550.0000      0.0000      0.8660      0.0000   1182.9236     19.1953      1.2632      1.1549   1120.3816    178.7520    197.4796      1.5646      1.7285      1.0000 
     1.0000    600.0000      0.0000      0.8660      0.0000   1188.8026     19.2535      1.2634      1.1549   1121.4368    180.5226    198.9015      1.5786      1.7393      1.0000 
     1.0000    650.0000      0.0000      0.8660      0.0000   1194.2418     19.3077      1.2636      1.1549   1122.4004    182.1250    200.1923      1.5913      1.7491      1.0000 
     1.0000    700.0000      0.0000      0.8660      0.0000   1199.3034     19.3584      1.2638      1.1549   1123.2863    183.5866    201.3731      1.6028      1.7581      1.0000 
     1.0000    750.0000      0.0000      0.8660      0.0000   1204.0373     19.4061      1.2639      1.1549   1124.1055    184.9287    202.4601      1.6133      1.7663      1.0000 
     1.0000    800.0000      0.0000      0.8660      0.0000   1208.4842     19.4511      1.2639      1.1549   1124.8668    186.1682    203.4663      1.6230      1.7738      1.0000 
     1.0000    850.0000      0.0000      0.8660      0.0000   1212.6773     19.4937      1.2640      1.1549   1125.5774    187.3189    204.4023      1.6320      1.7809      1.0000 
     1.0000    900.0000      0.0000      0.8660      0.0000   1216.6446     19.5343      1.2640      1.1548   1126.2433    188.3919    205.2766      1.6404      1.7874      1.0000 
     1.0000    950.0000      0.0000      0.8660      0.0000   1220.4093     19.5729      1.2640      1.1548   1126.8694    189.3964    206.0966      1.6482      1.7936      1.0000 
     1.0000   1000.0000      0.0000      0.8660      0.0000   1223.9915     19.6098      1.2639      1.1548   1127.4600    190.3400    206.8680      1.6556      1.7993      1.0000 
     1.1000     50.0000      0.0000      0.8660      0.0000   1058.8212     17.7348      1.2362      1.1558   1103.2329    113.8029    151.9699      1.0116      1.3509      1.0000 
     1.1000    100.0000      0.0000      0.8660      0.0000   1097.7574     18.0440      1.2465      1.1576   1112.9111    138.0431    167.4922      1.2164      1.4759      1.0000 
     1.1000    150.0000      0.0000      0.8660      0.0000   1121.9611     18.2445      1.2520      1.1585   1118.5150    149.9707    176.0403      1.3149      1.5434      1.0000 
     1.1000    200.0000      0.0000      0.8660      0.0000   1139.7653     18.3959      1.2555      1.1591   1122.4497    157.6960    181.8051      1.3778      1.5884      1.0000 
     1.1000    250.0000      0.0000      0.8660      0.0000   1153.9299     18.5187      1.2579      1.1595   1125.4716    163.3308    186.1046      1.4232      1.6216      1.0000 
     1.1000    300.0000      0.0000      0.8660      0.0000   1165.7286     18.6226      1.2597      1.1598   1127.9178    167.7271    189.5082      1.4583      1.6477      1.0000 
     1.1000    350.0000      0.0000      0.8660      0.0000   1175.8593     18.7130      1.2611      1.1599   1129.9680    171.3099    192.3110      1.4867      1.6690      1.0000 
     1.1000    400.0000      0.0000      0.8660      0.0000   1184.7473     18.7932      1.2622      1.1601   1131.7294    174.3202    194.6847      1.5105      1.6870      1.0000 
     1.1000    450.0000      0.0000      0.8660      0.0000   1192.6720     18.8654      1.2631      1.1602   1133.2711    176.9072    196.7375      1.5308      1.7024      1.0000 
     1.1000    500.0000      0.0000      0.8660      0.0000   1199.8269     18.9311      1.2638      1.1602   1134.6399    179.1695    198.5419      1.5486      1.7160      1.0000 
     1.1000    550.0000      0.0000      0.8660      0.0000   1206.3521     18.9916      1.2644      1.1603   1135.8694    181.1753    200.1487      1.5642      1.7280      1.0000 
     1.1000    600.0000      0.0000      0.8660      0.0000   1212.3519     19.0475      1.2649      1.1603   1136.9843    182.9739    201.5948      1.5782      1.7388      1.0000 
     1.1000    650.0000      0.0000      0.8660      0.0000   1217.9066     19.0997      1.2653      1.1603   1138.0033    184.6018    202.9078      1.5908      1.7485      1.0000 
     1.1000    700.0000      0.0000      0.8660      0.0000   1223.0791     19.1485      1.2656      1.1603   1138.9408    186.0867    204.1089      1.6023      1.7574      1.0000 
     1.1000    750.0000      0.0000      0.8660      0.0000   1227.9197     19.1945      1.2659      1.1603   1139.8084    187.4504    205.2147      1.6128      1.7656      1.0000 
     1.1000    800.0000      0.0000      0.8660      0.0000   1232.4694     19.2380      1.2661      1.1603   1140.6153    188.7100    206.2383      1.6225      1.7732      1.0000 
     1.1000    850.0000      0.0000      0.8660      0.0000   1236.7618     19.2791      1.2663      1.1602   1141.3689    189.8794    207.1906      1.6314      1.7802      1.0000 
     1.1000    900.0000      0.0000      0.8660      0.0000   1240.8249     19.3183      1.2664      1.1602   1142.0757    190.9699    208.0802      1.6398      1.7867      1.0000 
     1.1000    950.0000      0.0000      0.8660      0.0000   1244.6825     19.3557      1.2665      1.1602   1142.7406    191.9908    208.9144      1.6476      1.7928      1.0000 
     1.1000   1000.0000      0.0000      0.8660      0.0000   1248.3548     19.3914      1.2666      1.1601   1143.3683    192.9500    209.6994      1.6549      1.7986      1.0000 
     1.2000     50.0000      0.0000      0.8660      0.0000   1080.7504     17.6291      1.2340      1.1628   1115.9895    115.1746    153.7325      1.0121      1.3509      1.0000 
     1.2000    100.0000      0.0000      0.8660      0.0000   1119.5683     17.9186      1.2446      1.1641   1125.9892    139.6824    169.4302      1.2165      1.4756      1.0000 
     1.2000    150.0000      0.0000      0.8660      0.0000   1143.8129     18.1077      1.2504      1.1648   1131.7995    151.7479    178.0857      1.3148      1.5431      1.0000 
     1.2000    200.0000      0.0000      0.8660      0.0000   1161.6991     18.2511      1.2542      1.1652   1135.8888    159.5660    183.9270      1.3776      1.5879      1.0000 
     1.2000    250.0000      0.0000      0.8660      0.0000   1175.9590     18.3678      1.2570      1.1655   1139.0353    165.2705    188.2855      1.4229      1.6211      1.0000 
     1.2000    300.0000      0.0000      0.8660      0.0000   1187.8568     18.4667      1.2591      1.1657   1141.5863    169.7225    191.7371      1.4580      1.6471      1.0000 
     1.2000    350.0000      0.0000      0.8660      0.0000   1198.0866     18.5529      1.2608      1.1659   1143.7272    173.3515    194.5801      1.4864      1.6684      1.0000 
     1.2000    400.0000      0.0000      0.8660      0.0000   1207.0721     18.6296      1.2622      1.1660   1145.5688    176.4013    196.9884      1.5101      1.6863      1.0000 
     1.2000    450.0000      0.0000      0.8660      0.0000   1215.0918     18.6987      1.2633      1.1660   1147.1822    179.0227    199.0715      1.5304      1.7018      1.0000 
     1.2000    500.0000      0.0000      0.8660      0.0000   1222.3392     18.7617      1.2642      1.1661   1148.6162    181.3154    200.9028      1.5480      1.7153      1.0000 
     1.2000    550.0000      0.0000      0.8660      0.0000   1228.9540     18.8197      1.2650      1.1661   1149.9054    183.3486    202.5338      1.5636      1.7273      1.0000 
