# Engine name: MASA Hybrid
# Fri Dec 2 19:39:07 2016
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, psi  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     2.0000   1470.0000      0.0000      1.0000      0.0000   1548.9141     19.2214      1.2777      1.2311   1253.8750    213.5968    230.4878      1.6706      1.8027      1.0000 
     2.0000   1480.0000      0.0000      1.0000      0.0000   1549.3476     19.2246      1.2777      1.2311   1253.9710    213.7265    230.5961      1.6714      1.8034      1.0000 
     2.0000   1490.0000      0.0000      1.0000      0.0000   1549.7790     19.2278      1.2777      1.2310   1254.0664    213.8551    230.7036      1.6723      1.8041      1.0000 
     2.0000   1500.0000      0.0000      1.0000      0.0000   1550.2082     19.2310      1.2778      1.2309   1254.1612    213.9828    230.8102      1.6732      1.8048      1.0000 
     2.1000     50.0000      0.0000      1.0000      0.0000   1472.2974     18.4823      1.2829      1.2791   1227.1689    121.7576    165.4508      0.9730      1.3222      1.0000 
     2.1000     60.0000      0.0000      1.0000      0.0000   1473.9257     18.4927      1.2824      1.2779   1228.2144    129.4538    169.3079      1.0336      1.3518      1.0000 
     2.1000     70.0000      0.0000      1.0000      0.0000   1475.5130     18.5029      1.2820      1.2767   1229.1893    135.4854    172.6693      1.0809      1.3776      1.0000 
     2.1000     80.0000      0.0000      1.0000      0.0000   1477.0617     18.5128      1.2815      1.2757   1230.1027    140.4175    175.6120      1.1194      1.4000      1.0000 
     2.1000     90.0000      0.0000      1.0000      0.0000   1478.5739     18.5226      1.2811      1.2747   1230.9620    144.5728    178.2119      1.1518      1.4198      1.0000 
     2.1000    100.0000      0.0000      1.0000      0.0000   1480.0516     18.5321      1.2808      1.2737   1231.7734    148.1519    180.5313      1.1795      1.4373      1.0000 
     2.1000    110.0000      0.0000      1.0000      0.0000   1481.4965     18.5414      1.2805      1.2727   1232.5421    151.2879    182.6193      1.2037      1.4530      1.0000 
     2.1000    120.0000      0.0000      1.0000      0.0000   1482.9103     18.5506      1.2802      1.2719   1233.2724    154.0732    184.5141      1.2251      1.4672      1.0000 
